timestamp,sim_day,sim_hour,zone_temp_c,outdoor_temp_c,zone_rh_percent,zone_co2_ppm,pmv,elec_power_kw,cooling_setpoint_c,heating_setpoint_c,grid_tariff_usd_kwh,grid_carbon_gco2_kwh,mode,agent_action
2026-07-26T20:42:11.005778,1,0.0,23.72,30.87,52.1,476.0,-3.0,44.95,23.0,21.0,0.08,180.0,agent,"Setpoints are maintained within required ranges (Heating: 18-22°C; Cooling: 23-28°C). Heating is set to the maximum allowed value (22.0°C) to satisfy the differential rule (must be ≥1°C below cooling), while keeping cooling at a comfortable baseline. The OFF_PEAK grid tier suggests pre-cooling, and the PMV index (-3.0) is well within acceptable limits. [deadband auto-fix]"
2026-07-26T20:44:44.187883,1,0.25,23.91,30.64,52.2,477.0,-3.0,43.82,23.0,21.5,0.08,180.0,agent,Applying the minimum required differential (1°C) while adhering to heating limits (18-22°C) and preparing for potential afternoon peak cooling based on OFF_PEAK grid tier. [deadband auto-fix]
2026-07-26T20:46:38.514004,1,0.5,24.02,30.4,52.3,478.0,-3.0,42.45,23.0,21.5,0.08,180.0,agent,Setpoints chosen within range and maintain the required minimum differential (H ≥ C - 1). [deadband auto-fix]
2026-07-26T20:48:38.564776,1,0.75,24.07,30.15,52.4,478.0,-3.0,40.9,23.0,21.5,0.08,180.0,agent,
2026-07-26T20:50:39.675956,1,1.0,24.09,29.9,52.5,478.0,-3.0,39.24,23.0,21.5,0.08,180.0,agent,Setpoints adjusted to maintain required differential (≥1°C) while adhering to base ranges and optimizing for comfort given the low PMV index.
2026-07-26T20:53:35.366319,1,1.25,24.2,29.65,52.6,479.0,-3.0,36.62,23.5,22.0,0.08,180.0,agent,
2026-07-26T20:55:29.634328,1,1.5,24.26,29.39,52.7,479.0,-3.0,34.99,23.5,22.0,0.08,180.0,agent,Pre-cooling applied due to OFF_PEAK grid tier requirement.
2026-07-26T20:57:22.171971,1,1.75,24.15,29.13,52.8,478.0,-3.0,34.12,23.0,21.5,0.08,180.0,agent,
2026-07-26T20:59:33.865053,1,2.0,24.06,28.87,52.9,478.0,-3.0,32.13,23.0,21.5,0.08,180.0,agent,"Applying standard ranges (Heating: 18-22°C, Cooling: 23-28°C) and ensuring heating is at least 1°C below cooling. This aligns with the OFF_PEAK strategy to pre-cool the zone. [deadband auto-fix]"
2026-07-26T21:01:53.707980,1,2.25,23.97,28.61,53.0,477.0,-3.0,30.16,23.0,21.5,0.08,180.0,agent,Applying standard comfort ranges while ensuring heating is at least 1°C below cooling and adhering to grid-aware settings. [deadband auto-fix]
